contract_id,summary,termination_clause,confidentiality_clause,liability_clause
NEOMEDIATECHNOLOGIESINC_12_15_2005-EX-16.1-DISTRIBUTOR AGREEMENT,"This agreement makes PPG Shanghai the supplier of its Deltron and ACS automotive refinish products to NeoMedia Micro Paint Repair, which will act as the distributor in mainland China. PPG grants a non‑exclusive right to sell the products in the territory, while the distributor must meet sales targets, promote the products, provide customer service, and use PPG’s trademarks only with approval. PPG must supply products, provide marketing support, training, and rebates if targets are met. The distributor must pay for products up front, handle its own logistics, and avoid selling outside the territory. Risks include immediate termination if the distributor sells outside the territory and limited liability for PPG, which only promises product title and limited warranty, disallowing any other implied warranties.","If DISTRIBUTOR sells or distributes the Products outside the Territory, whether directly or indirectly through DISTRIBUTOR's cooperation or in conjunction with other third parties, or to customers outside the Territory without the prior knowledge and consent of PPG SHANGHAI, PPG SHANGHAI shall have the right to terminate with immediate effect this Agreement and any existing incentive arrangements between PPG SHANGHAI and DISTRIBUTOR, whether entered into before or after the commencement of the Agreement.",NOT FOUND,"PPG SHANGHAI warrants only its title to the Products and that the Products will be as set forth in the warranty statement, if any, on the Products' labeling or in the absence of any such warranty statement that the Products will conform to PPG SHANGHAI's standard warranty when they are taken from PPG SHANGHAI's warehouse by DISTRIBUTOR or its transport agent. DISTRIBUTOR is not authorized to make warranties or representations on behalf of PPG SHANGHAI and shall make no such warranties or representations. THESE ARE THE ONLY REPRESENTATIONS OR WARRANTIES THAT PPG SHANGHAI MAKES, AND ALL OTHER EXPRESS OR IMPLIED WARRANTIES UNDER STATUTE OR ARISING OTHERWISE IN LAW FROM A COURSE OF DEALING OR USAGE OF TRADE, INCLUDING, WITHOUT LIMITATION, ANY WARRANTY OF MERCHANTIBILITY, FITNESS FOR A PARTICULAR PURPOSE OR USE, ARE DISCLAIMED BY PPG SHANGHAI. In the event that the Product fails to conform to the warranties herein given, DISTRIBUTOR's exclusive remedy and PPG SHANGHAI's sole responsibility is, at PPG SHANGHAI's option, limited to the replacement of such nonconforming Product at PPG SHANGHAI's..."
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT","This Intellectual Property Agreement, dated Dec. 31, 2018, is between Armstrong Flooring (Seller), AFI Licensing (Licensing), and AHF Holding (Buyer) to handle the transfer and licensing of intellectual property that will be used after the Stock Purchase Agreement closes. Arizona (the Seller and Licensing) assigns all of its owned IP that is used exclusively in the Company’s business to the Company, and the Company assigns its own IP used in Arizona’s business back to Arizona. Both sides also grant each other perpetual, royalty‑free, non‑exclusive licenses for copyrights, know‑how, patents and certain trademarks, with limited, time‑bound licenses for other trademarks. Risks include the need to maintain quality control over trademark use, comply with the existing Trademark License Agreement, and ensure proper recordation of assignments; failure could jeopardize the validity of the transferred IP and expose the parties to reputational damage.",NOT FOUND,NOT FOUND,NOT FOUND
StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement,FAILED,FAILED,FAILED,FAILED
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement,FAILED,FAILED,FAILED,FAILED
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement,"This Content License Agreement gives Pacificap Entertainment a ten‑year exclusive, worldwide right to let The Henry Film and Entertainment Corporation use its nostalgic TV‑show library to create a wide range of media products. Pacificap must deliver the content in the requested digital formats and provide technical support, while Henry must pay a 10% share of net advertising, syndication and licensing revenue and guarantee at least $50,000 per year; failure to meet the minimum lets Pacificap cancel the deal. Both parties must keep each other's proprietary information confidential, and either side can terminate immediately for insolvency, bankruptcy, or a material breach not cured within 30 days. Risks include loss of revenue if the minimum isn’t met, potential termination without further liability, and the need to defend against third‑party IP claims under the indemnification provision.","TERM AND TERMINATION

INITIAL TERM AND RENEWALS: This Agreement will become effective as of the last date of signature (Effective Date) and shall, unless sooner terminated as provided below or as otherwise agreed, remain effective for an initial term of 10 Years ... After the Initial Term, this Agreement will be automatically renewed for successive additional 3‑year periods (""Extension Terms""), unless otherwise terminated by either party by giving notice to the other party not less than sixty (60) days prior to the end of a Term.

TERMINATION FOR CAUSE: Notwithstanding the foregoing, this Agreement may be terminated by either party immediately upon notice if the other party: (w) becomes insolvent; (x) files a petition in bankruptcy; (y) makes an assignment for the benefit of its creditors; or (z) breach any of its obligations under this Agreement in any material respect, which breach is not remedied within thirty (30) days following written notice to such party.

EFFECT OF TERMINATION: Any termination shall be without any liability or obligation of the terminating party, other than with respect to any breach of this Agreement prior to termination. The provisions relating to property rights and confidentiality shall survive any termination or expiration of this Agreement. All revenue sharing ceases with the termination of this Agreement.","PACIFICAP ENTERTAINMENT and THE HENRY FILM AND ENTERTAINMENT CORPORATION hereby acknowledge that each of them may have access to confidential and proprietary information, which relates to the other party's business (the ""Confidential Information""). Such information shall be identified as confidential at the time of disclosure. Each party agrees to preserve and protect the confidentiality of the Confidential Information and not to disclose or use any applicable Confidential Information without the prior written consent of the other party; provided, however, that any party hereto may disclose to any other party or use any information which is: (i) already publicly known; (ii) discovered or created independently of any involvement with such party; (iii) otherwise learned through legitimate means other than from such party; or (iv) independently created by the receiving party without reference to the other party's confidential information. Moreover, any party hereto may disclose any Confidential Information hereunder to such party's agents, attorneys and other representatives or any court or competent jurisdiction or any other party empowered hereunder as reasonably required to resolve any dispute between the parties hereto. Both parties agree all aspects of this contract are confidential and shall not be disclosed to any third party.",NOT FOUND
"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT","This Franchise Agreement lets the franchisee operate a hotel under the Homewood Suites by Hilton brand. The franchisor (Hilton) grants a non‑exclusive license to use the brand, its trademarks, manuals, and reservation systems, while the franchisee must build or refurbish the hotel to brand standards, complete required training, run the hotel according to the franchisor’s operational guidelines, and pay monthly program and royalty fees. The franchisor provides marketing support, inspections, and ongoing consultation. Risks include possible termination (see Section 14) if the franchisee fails to cure defaults, and liquidated or actual damages on termination. The franchisee also bears obligations to maintain records, allow audits, protect proprietary information, and comply with anti‑corruption and privacy laws, with indemnity obligations for breaches.",NOT FOUND,NOT FOUND,NOT FOUND
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement4,"This addendum is a disclosure required by the New York Department of Law for a franchise agreement. It obligates the franchisor and its affiliates to disclose any pending or past litigation, criminal convictions, injunctive orders, or bankruptcy filings that could affect the franchise. The franchisor must confirm that neither it nor its predecessors, officers, or affiliates have been involved in serious legal actions, fraud, or bankruptcy within the specified time frames. The master franchisee signs the document to acknowledge receipt of these disclosures. The main risk for the franchisee is entering a relationship without full knowledge of hidden legal or financial problems, while the franchisor faces penalties for misrepresentation or omission of required information.",NOT FOUND,NOT FOUND,NOT FOUND
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT","This amendment updates the 2014 Non‑Competition Agreement between Vivint Solar and Vivint, both affiliates of 313 Acquisition. The parties delete the original non‑competition provision (Section 2) and the original non‑solicitation provision (Section 4), replacing the latter with a new term that ties the agreement’s duration to the ""Sales Term"" defined in a separate Sales Dealer Agreement dated August 16, 2017. Except for these changes, the rest of the original non‑competition agreement remains in force. The amendment is governed by the Master Framework Agreement, which includes confidentiality and miscellaneous provisions. Risks include being bound by the original restrictive covenants that were not deleted, and the agreement’s continuation for the full sales term, potentially limiting future business activities for the affiliates.",NOT FOUND,NOT FOUND,NOT FOUND
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1),"This Development Agreement sets out a collaboration where Cargill will modify its yeast strain CB1 to produce succinic acid for Bioamber, while Bioamber funds the work and pays milestone fees. Cargill must perform the work with qualified staff, maintain permits, and is solely responsible for its employees' negligence. Bioamber must pay an upfront $250,000, annual FTE fees, and additional sums when milestones are reached; missed milestones trigger penalty payments or accelerated due amounts if Bioamber commercializes the strain. Both parties must keep all shared technical and business information confidential. Risks include Cargill’s liability limited to specified milestone penalties and Bioamber’s exposure to extra fees if milestones are delayed or not met.",NOT FOUND,"4. Confidentiality. To carry out the Work Plan, Cargill may receive from, and provide to, Bioamber certain Confidential Information, as defined below. Such Confidential Information will be disclosed by one Party (the ""Disclosing Party"") to the other Party (the ""Receiving Party"") on the following terms and conditions:

4.1 ""Confidential Information"" means all business, technical, and financial information related to the Work Plan, the terms and discussions relating to the Term Sheet executed by the parties on December 3, 2009 and December 4, 2009, and to any aspect of the business of each Party that is material to the Work Plan, including, without limitation, Licensed Tool Kit, products, product compositions, raw materials, specifications, formulae, equipment, business plans and strategies, customer lists, supplier lists, know-how, samples, drawings, pricing information and other financial information, inventions, ideas, research information, packaging, manufacturing processes, and other information, or its potential use, that is owned by or in possession of either Party. For purposes of clarity, the parties shall not disclose to each other any Confidential Information that is not material to the Work Plan, such as, by way of example and without limitation, processes and other information relating to post-fermentation activities. Confidential Information shall not include information that: (a) is in the public domain prior to disclosure by Disclosing Party; (b) becomes part of the public domain, by publication or otherwise, through no unauthorized act or omission by the Receiving Party; (c) is lawfully in the Receiving Party's possession prior to disclosure by the Disclosing Party; or (d) is independently developed by an employee(s) of the Receiving Party with no access to the disclosed Confidential Information.

4.2 The Receiving Party agrees to take and maintain proper and appropriate steps to protect Confidential Information of the Disclosing Party. The Receiving Party agrees to disclose the Confidential Information of the Disclosing Party only to employees or agents of the Receiving Party who are directly involved with the Work Plan contemplated by this Development Agreement, and even then only to such extent as is necessary and essential to perform the Work Plan. The Receiving Party agrees to inform such employees and agents of the confidential nature of the information disclosed hereunder and to cause all such employees and agents to abide by the terms of this Development Agreement.

4.3 The Receiving Party shall not disclose the Disclosing Party's Confidential Information to any unauthorized party","2.4.3 Provided that Cargill has respected its undertakings set out in Section 1.2 of this Development Agreement, no other damages shall accrue to Cargill for not achieving a given Milestone other than provided in Sections 2.4.1, 2.4.2, and 2.5."
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement2,"This agreement lets the Supplier produce merchandise that uses Playboy’s trademarks only at the direction of the Purchaser. The Supplier must not sell or ship any Playboy‑branded items without an order, must not claim ownership of the trademarks, and must limit production to the quantities and designs the Purchaser specifies. The Supplier must return or destroy all molds and designs when asked. Playboy is a third‑party beneficiary, and the contract supersedes any conflicting purchase‑order terms. The Supplier is required to indemnify and hold harmless Playboy and the Purchaser for any defects, creating a significant liability risk. The contract can only be changed or ended in writing signed by Playboy, and any breach could lead to fines, criminal penalties, or prosecution for trademark infringement.","This Contract may not be modified or terminated except in writing, and no claimed modification, termination or waiver shall be binding unless also signed by an authorized representative of Playboy.",NOT FOUND,"Supplier will defend, indemnify and hold harmless Purchaser and Playboy and the distributors and dealers and the officers and employees of each of the foregoing against all liability whatsoever which may be incurred by them or any of them as a result of any alleged defects in material or workmanship in the merchandise covered by this Contract."
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,"This Web Site Hosting Agreement sets out i‑on’s duty to keep the Customer’s hosted website running 24/7, provide internet connectivity, storage, backups, and limited monthly admin support in exchange for a $450 monthly fee. The Customer must pay on time, supply all website content, handle user support, marketing, and security of admin accounts, and obtain i‑on’s approval for any custom scripts. Risks include service interruption if fees are late, data loss despite backups (i‑on is held harmless), and limited liability—i‑on’s exposure is capped at one month’s fees. Either party can end the contract with 30‑day notice, but the Customer must still pay all amounts due.","The term of this Agreement for the Hosted Site shall commence upon April 1, 1999 and shall continue for a period of six (6) months, unless earlier terminated in accordance with provisions hereof. This Agreement shall automatically be renewed for one (1) or more one (1) month periods unless either the Customer or i‑on gives notice to the other party of its intention not to renew the Agreement, which notice must be given not less than fifteen (15) days before the end of the respective initial or renewal term.

Either party may terminate this Agreement without cause at any time effective upon thirty (30) days' written notice. Notwithstanding anything to the contrary contained in this Agreement, no termination of this Agreement for any reason whatsoever shall relieve the Customer of the obligation to pay all amounts due to i‑on and to make such payments on a timely basis.",NOT FOUND,"i‑on will not be liable under any circumstances for any lost profits or other consequential damages, even if i‑on has been advised as to the possibility of such damages. i‑on's liability for damages to the Customer for any cause whatsoever, regardless of the form of action, and whether in contract or in tort, including negligence, shall be limited to one (1) month's fees and the remaining portion of any prepaid fees."
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3,"This amendment updates the original Wireless Content License Agreement between Fox Mobile Entertainment (on behalf of Twentieth Century Fox) and Glu Mobile. It adds a limited, non‑exclusive license for Glu Mobile to distribute specific Ice Age 2 audio and video wireless products in the U.S. and abroad. In exchange, Glu Mobile must pay Fox a royalty of ***** % of its gross receipts from each unit sold, and it cannot offset any prior Ice Age 2 guarantee against these sales. The amendment also clarifies that any revenue Fox earns from direct‑to‑consumer sales of these products belongs solely to Fox, and Glu Mobile has no claim to that income. All other terms of the original agreement remain unchanged. The main risk for Glu Mobile is the royalty obligation and the inability to recoup prior guarantees, while Fox retains full control over direct‑to‑consumer revenue.",NOT FOUND,NOT FOUND,NOT FOUND
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2,"This amendment updates the original manufacturing agreement between Stremick's Heritage Foods (""Heritage"") and Premier Nutrition Corporation (""Premier""). The key change is that Section 2(c) is replaced with a new requirement that Premier must purchase a minimum annual order volume (MAOV) of a specified number of units for each twelve‑month contract period, starting July 1, 2018, and continuing each year thereafter, provided Heritage’s aseptic production facility is approved by Premier by January 1, 2019. The amendment also clarifies that all other terms of the original agreement stay unchanged. Risks for Premier include the obligation to meet the purchase minimums, which could be costly if demand falls short. Heritage’s risk is that the purchase commitment depends on facility approval; if the facility is not approved, the MAOV may not be enforceable. No new termination, confidentiality, or liability provisions are added.",NOT FOUND,NOT FOUND,NOT FOUND
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT,"This Hosting Agreement lets Customer use eGain's web‑based software and related hosting services. eGain must provide 24/7 live support, maintain the system, and ensure the software works as documented; if downtime occurs, eGain credits the Customer for service days. Customer must supply its own internet connection and equipment, keep passwords secure, use the system lawfully, and pay monthly fees on time, with late fees for overdue payments. Both parties must keep each other's confidential information private and return it upon termination. Liability is limited: eGain is not responsible for indirect or consequential damages and its total exposure is capped at the fees paid. The agreement runs for one year, auto‑renews, and can be ended with 30‑day notice or for material breach, after which services stop and any unpaid fees become due.","10.1 Term and Termination. This Agreement shall continue in effect from the Effective Date for a one (1) year period, unless earlier terminated as set forth below, and thereafter shall renew automatically for successive one (1) year periods unless either party gives the other party at least thirty (30) days prior written notice of its intent not to renew the Agreement. In addition, either party may terminate this Agreement by giving to the other party written notice of such termination upon the other party's material breach of any material term (subject to the other party's right to cure within thirty (30) days after receipt of such notice), the other party's insolvency, or the institution of any bankruptcy or similar proceedings by or against the other party.

10.2 Effect of Termination. Upon any termination of this Agreement, eGain shall immediately cease providing all Hosting Services, and Customer shall no longer have access to the Software or the eGain System. Except in the event of termination for Customer's breach, eGain shall provide Customer with an electronic copy of the final Reports (covering the month just prior to termination of this Agreement). eGain shall be entitled to retain a copy (whether electronic or otherwise) of the Online Messages and the Reports for its records and internal purposes and shall not disclose such Online Messages or Reports to any third party except as permitted under Section 4. Within fifteen (15) days of any termination of this Agreement, Customer shall pay to eGain all unpaid fees accrued prior to termination. Sections 4, 5 (as to amounts accrued but unpaid), 7, 8, 10.2 and 12 and Exhibit A (as to amounts accrued but un","8. Confidential Information. Each party agrees to keep confidential and to use only for purposes of performing (or as otherwise permitted under) this Agreement, any proprietary or confidential information of the other party disclosed pursuant to this Agreement which is marked as confidential or which would reasonably be considered of a confidential nature. The obligation of confidentiality shall not apply to information which is publicly available through authorized disclosure, is known by the receiving party at the time of disclosure as evidenced in writing, is rightfully obtained from a third party who has the right to disclose it, or which is required by law, government order or request to be disclosed. Upon any termination of this Agreement, each party shall return to the other party all confidential information of the other party, and all copies thereof, in the possession, custody or control of the party unless otherwise expressly provided in this Agreement.","7. Limitation of liability. EXCLUDING LIABILITY FOR INFRINGEMENT CLAIMS AS DISCUSSED IN SECTION 9 OF THIS AGREEMENT, IN NO EVENT SHALL eGAIN BE LIABLE TO CUSTOMER FOR CONSEQUENTIAL, EXEMPLARY, INDIRECT, SPECIAL OR INCIDENTAL DAMAGES (INCLUDING, WITHOUT LIMITATION, LOST PROFITS), OR BE LIABLE TO ANY THIRD PARTY FOR ANY DAMAGES WHATSOEVER, EVEN IF eGAIN HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES. eGain's entire liability under this Agreement for any damages from any cause whatsoever, regardless of form or action, whether in contract, negligence or otherwise, shall in no event exceed an amount equal to the price paid for the Services out of which the claim arose."
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement3,"This excerpt outlines how California law affects a Master Franchise Agreement. It tells franchisees that state statutes protect their rights to terminate or not renew the franchise, and that any contract terms that conflict with those statutes will be overridden. The agreement also includes a termination‑upon‑bankruptcy clause, which might be invalid under federal bankruptcy rules, and a liquidated damages provision that could be unenforceable under California law. The document notes that non‑binding mediation will be held in New York, that New York law is designated to govern the contract (potentially contrary to California rules), and that franchisees must sign a general release to renew or transfer the franchise, which California law may void. Risks include unenforceable termination, mediation, and damages provisions, and possible penalties for violating state disclosure and waiver requirements.","1. California Business and Professions Code Sections 20000 through 20043 provide rights to you concerning termination or non‑renewal of a franchise. If the Master Franchise Agreement contains provisions that are inconsistent with the law, the law will control.

2. The Master Franchise Agreement provides for termination upon bankruptcy. This provision may not be enforceable under Federal Bankruptcy Law (11 U.S.C.A. Sec. 101 et seq.).",NOT FOUND,"10. The Master Franchise Agreement contains a liquidated damages clause. Under California Civil Code Section 1671, certain liquidated damages clauses are unenforceable."
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement,"This Trademark License Agreement lets Morgan Stanley Direct Lending Fund (Licensee) use the ""Morgan Stanley"" brand for specific public‑filing and marketing purposes, while Morgan Stanley Investment Management Inc. (Licensor) retains ownership of the brand. Licensee must obtain prior written approval for each use, keep the brand’s quality standards, and comply with all laws. The Licensor can end the agreement at any time for convenience, for breach, or if the related investment advisory relationship ends, and the license runs forever unless terminated. Liability is limited: neither side is responsible for special or consequential damages, except for indemnification obligations. Risks include immediate termination for non‑compliance, loss of brand use, and the need to cease all activities upon termination.","Section 4. Termination. Section 4.1. Term. The term of this Agreement commences on the Effective Date and continues in perpetuity, unless termination occurs pursuant to Sections 4.2 through 4.4. Section 4.2. Termination for Convenience. Licensor reserves the right to terminate this Agreement immediately upon written notice for any reason, including if the usage of the Brand is not in compliance with the standards and policies. Section 4.3. Termination for Breach. If either party materially breaches one or more of its obligations hereunder, the other party may terminate this Agreement, effective upon written notice, if the breaching party does not cure such breach within 15 days after written notice thereof (or any mutually agreed extension). Licensor may terminate this Agreement immediately, effective upon written notice, if (i) Licensee attempts to violate Section 8 or (ii) a sublicensee materially breaches its sublicense in a manner that harms the Brand, and (a) such sublicensee does not cure the same within 15 days after notice from Licensor or Licensee or (b) Licensee does not terminate such sublicense within 15 days after notice from Licensor. Section 4.4. Termination of Advisory Agreement. This Agreement shall terminate automatically without notice and immediately (a) if MS Capital Partners Adviser Inc. or another affiliate of Licensor is no longer acting as the investment adviser (any such entity, the ""Advisor"") to Licensee under the Investment Advisory Agreement, dated as of [·], 201[9] (as the same may be amended, modified or otherwise restated, the ""Investment Advisory Agreement""), or a similar agreement, or (b) the Advisor is no longer an affiliate of Licensor. Further, Licensor may terminate this Agreement, effective upon written notice, at any time after 30 days from the date that Licensee notifies Licensor that the Investment Advisory Agreement has terminated or is not being renewed. Section 4.5. Effect of Termination; Survival. Upon termination of this Agreement for any reason, (a) Licensee shall immediately, except as required by applicable Law, (i) cease all use of the Permitted Activity; and (b) the parties shall cooperate so as to best preserve the value of the Brand. Sections 2, this Section 4.5, and Sections 6.2, 6.3, 7 and 9 shall survive termination of this Agreement.",NOT FOUND,"Section 6.3. EXCEPT WITH RESPECT TO LICENSEE'S INDEMNIFICATION OBLIGATIONS UNDER SECTION 7, NEITHER PARTY WILL BE LIABLE TO THE OTHER PARTY FOR SPECIAL, INDIRECT, CONSEQUENTIAL, EXEMPLARY, PUNITIVE OR INCIDENTAL DAMAGES (INCLUDING LOST PROFITS OR GOODWILL, BUSINESS INTERRUPTION AND THE LIKE) RELATING TO THIS AGREEMENT, EVEN IF IT HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES."
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement,"This Corporate Sponsorship Agreement lets Freeze Tag, Inc. support the American Diabetes Association’s Get Fit Don’t Sit Day while the Association publicly acknowledges the sponsorship. Freeze Tag must use the Association’s trademarks only as approved, maintain product quality, and keep the Association’s tax‑exempt status safe. The Association must display the sponsor’s name and logos correctly and obtain its written consent for any use. Both parties must keep the agreement’s terms and any non‑public business information confidential. Risks include breach of trademark use rules, failure to maintain required liability insurance, and material breaches that can trigger termination with ten days’ notice. Each party is liable only for its own actions, and indemnifies the other for related claims.","Before expiration of the Term, either Party may terminate this Agreement upon: (i) any material breach of the Agreement by the other Party, if such breach is not remedied to the reasonable satisfaction of the non-breaching Party within ten (10) business days after written notice; (ii) ten (10) business days written notice to the other Party whenever the notifying Party in its sole discretion determines that the continuation of the Agreement will damage its reputation or good will; or (iii) written notice in the event one Party (a) becomes or is declared insolvent or bankrupt or is subject to the appointment of a trustee or receiver or any equivalent thereof, (b) is the subject of any proceeding related to its liquidation or insolvency (whether voluntary or involuntary) which is not dismissed within ninety (90) days, (c) makes an assignment for the benefit of creditors, or (d) is subject to any sale, lease or other transfer of all or substantially all of its assets to any entity; or (e) is subject to a change of control (whether by merger, stock transfer or otherwise), except in the case of an initial public offering.","The provisions of this Agreement shall be maintained by the Parties as confidential during the Term and thereafter. In addition, any and all aspects of Company's business, including without limitation all non-public information or trade secrets directly or indirectly related thereto, that Association becomes exposed to during the Term, and extensions or renewals, of this Agreement shall be maintained as confidential, and shall not be further disclosed by Association, or used by Association for any purpose other than performing hereunder during the Term or thereafter. Company shall at all times retain full ownership in and to all information respecting its business, and shall be the sole and exclusive owner of all materials created by or for the Company hereunder, with the exception of the Association Marks.",Company and Association agree that each is responsible for its own business activities and for its action or inaction relating to the specific Program or Event activities under this Agreement. Company shall be responsible for securing any necessary release forms from participants in any Company activity not held at the Association's Program or Event activity.
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement","This Strategic Alliance Agreement sets up a partnership where Bravatek will act as a non‑exclusive lead‑finder for Fazync’s energy‑saving products in the government sector, while Fazync will promote Bravatek in its marketing and provide support on technical and administrative matters. Both parties must collaborate on joint product strategies, share marketing materials, and agree in writing on pricing for custom projects. Bravatek earns a lead‑finder fee of 10‑20% of project revenue, payable within 30 days of client payment. The agreement runs for 12 months, auto‑renews for another year unless either side gives 90‑day notice, and can be terminated with 90‑day written notice. Confidential information must be kept secret for five years after termination, and each party indemnifies the other for damages caused by its own negligence or breach.",This Agreement may also be terminated by either party upon ninety (90) days written notice.,"""Confidential information"" shall mean any and all technical and non-technical information, documents and materials related to client projects of party and products, services and business of each of the parties. Fazync and Bravatek agree to maintain in strict confidence and not to disclose or disseminate, or to use for any purposes other than performance of the projects, the Confidential Information disclosed. The obligation of non-disclosure shall not apply to the following: a. Information at or after such time that is publicly available through no fault of either party b. Information at or after such time that is disclosed to either party by a third party entitled to disclose such information c. Information which is required by law to be disclosed to federal, state or local authorities.",NOT FOUND
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,"This Charter Affiliate Affiliation Agreement sets out the relationship between The TUBE Music Network (the ""Network"") and Tribune Broadcasting Company (the ""Affiliate"") for the broadcast of the Network's television service, ""The TUBE,"" over the Affiliate's broadcast stations. The Affiliate must air the Service on its stations (including any it later acquires) starting on specified launch dates, use only over‑the‑air transmission (or approved MVPD carriage), and may insert a limited amount of locally produced programming. The Network retains full control over all content, scheduling, and any changes to the Service. The agreement runs from the effective date in March 2006 until March 31, 2011, with an automatic four‑year renewal unless the Affiliate gives six months’ notice before the end of the term. Risks include the Affiliate’s obligation to launch on time, to secure MVPD carriage where required, and to comply with FCC and licensing rules; failure to meet these obligations could lead to breach and termination, though specific penalties are not detailed in the excerpt.",NOT FOUND,NOT FOUND,NOT FOUND
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT,"This Strategic Alliance Agreement lets Northern Telecom (NTL) and Entrust Technologies (ETI) share and cross‑license each other's patents and technology. NTL receives a perpetual, worldwide right to use Entrust products and may contract for support services, paying $300,000 in 1997. ETI must grant NTL access to source code, enter reseller and source‑code license agreements, and pay fees tied to NTL's use of the technology. Both parties give each other royalty‑free patent licenses for products and services in their fields. Risks include a capped liability of $1 million for IP indemnity, an early‑termination clause that can end the reseller deal if ETI defaults or ceases to be NTL’s subsidiary, and no explicit confidentiality provisions in the excerpt.","Subject to early termination for material default, such Reseller Agreement shall expire either in three years or when ETI ceases to be a Subsidiary of NTL, whichever event occurs later.",NOT FOUND,"ETI's liability to Nortel arising from or relating to the intellectual property indemnity set forth in the Enterprise License shall not exceed 50% (fifty percent) of the monies paid by Nortel thereunder to a maximum of U.S.$1,000,000 (one million U.S. dollars)."
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT,"This Collaboration Agreement sets out a partnership between MacroGenics and Green Cross to develop and, if approved, commercialize MacroGenics' anti‑HER2 antibody MGAH22 in South Korea. MacroGenics will grant Green Cross an exclusive license for all indications and pharmaceutical forms of the antibody in that territory, while Green Cross will fund development activities, obtain regulatory approvals, and handle commercialization, including sales, marketing, and post‑approval activities. Both parties must comply with applicable laws, good manufacturing and clinical practices, and share confidential information. Key risks include failure to secure regulatory approval, non‑compliance with cGMP/GCP standards, and potential loss of exclusivity if milestones are not met. The agreement also outlines cost allocations, such as commercial supply costs and fully‑burdened manufacturing costs, which could affect each party’s financial exposure.",NOT FOUND,NOT FOUND,NOT FOUND
"VAPOTHERM, INC. - Manufacturing and Supply Agreement","This Manufacturing and Supply Agreement sets out a relationship where Vapotherm, a U.S. medical device maker, contracts Medica in Italy to produce specialized cartridges for its humidified gas therapy system. Vapotherm must give Medica regular forecasts and place purchase orders that meet minimum percentages of those forecasts, while Medica must keep a safety stock, meet strict quality specifications, and deliver on time. If deliveries are late or cartridges fail to meet specifications, Vapotherm can receive price reductions, demand replacements, or cancel orders. Payments are due within a set number of days, with interest penalties for late payment. The agreement also includes provisions for quality monitoring, inspections, recalls, and indemnification, but the excerpt does not contain the detailed termination, confidentiality, or liability language.",NOT FOUND,NOT FOUND,NOT FOUND
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement,"This agreement sets up an affiliate program where website owners (Affiliates) place links to software products on their sites. When a visitor clicks the link, purchases the software through element 5’s order system, the Affiliate earns a commission based on the sale price, up to 50% and subject to a minimum payout threshold. Affiliates must integrate the provided link correctly, keep their login credentials confidential, and display required disclosures about their partnership. element 5 handles order processing, payment collection, refunds, and passes the net proceeds (minus commission, service fees and taxes) to the Software Publisher. The Software Publisher configures commission rates and supplies advertising material, which the Affiliate may use but not alter without permission. Risks include loss of commission if links malfunction, delayed payments until the minimum threshold is met, and potential liability for incorrect pricing or content on the Affiliate’s site.",NOT FOUND,NOT FOUND,NOT FOUND
